username,text,date
RiciaB1,"Lmaoooo one thing bout me imma catch somebody lurking. Folks be lurking on Twitter, IG, and TIKTOK. I don’t even ma… https://t.co/naxdrvt2s0",2023-03-30 03:24:32+00:00
ScottEBerrett1,Check out Latterdaisaint's video! #TikTok https://t.co/w5d5W5JJOu,2023-03-30 03:24:31+00:00
BigJonQ,"[3.29] Trans Vengeance, 2nd Amendment, U.S. Dollar Destabilization, Real Reason for TikTok Ban https://t.co/RC85X0KQTd",2023-03-30 03:24:31+00:00
ashutoshx,A US ban on TikTok could damage the idea of the global internet | Kenneth Rogoff https://t.co/GZBasYrLql,2023-03-30 03:24:30+00:00
EXOGlobal,"[OFFICIAL] 230330 #EXO Tiktok &amp; Youtube Update with #KAI #SEHUN #BAEKHYUN 
🔗 https://t.co/XjPBzKQfv1
🔗… https://t.co/FlEpQjpa1g",2023-03-30 03:24:27+00:00
XxDuncanDonutxX,"@nbyotd Hi, I'm Duncan.. I draw fanart, oc art, create roblox animations/videos and so on. 

💜ko-fi -duncandonutz… https://t.co/lUzVuvsCbo",2023-03-30 03:24:27+00:00
KalebSabreJr,"Ik this ain’t about wrestling but it’s serious, @CongressmanRaja @RepValDemings and other Congressmen and women, ju… https://t.co/MJU1rm46Pz",2023-03-30 03:24:26+00:00
FPatriot22,Check out Latinos4Trump24's video! #TikTok https://t.co/99kxUWlncr,2023-03-30 03:24:26+00:00
edtwt_bf,my gf is being productive and doing her hw i can’t feel it in my bones (she hasn’t sent me a tiktok in 30 minutes),2023-03-30 03:24:25+00:00
Brett7321,"Former Pfizer BP thoughts capital punishment to those behind the #VaccineDeath #drmichaelyeadon #yeadon #Pfizer 

https://t.co/eHhVsJTAEN",2023-03-30 03:24:25+00:00
KadinHanshaw11,Check out KadinHanshaw11's video! #TikTok https://t.co/qrTkwTsqRg,2023-03-30 03:24:25+00:00
HeroCallMovie,I’m thinking of making my @tiktok_us debut by posting videos of the items my puppy has destroyed each day - complet… https://t.co/31JKo40ySV,2023-03-30 03:24:24+00:00
WWEXOL,"[OFFICIAL] EXO TikTok Update with #KAI, #BAEKHYUN and #SEHUN 

“Mr. Rovers 🐥🐻🐶”

🔗 https://t.co/TtNIjx6wxG

#백현 #카이… https://t.co/y2yzkRTrvI",2023-03-30 03:24:24+00:00
WtMediaWontShow,"Look at this dumbass @HawleyMO A republican complaining about CENSORSHIP, wants to censor 150 MILLION AMERICANS fro… https://t.co/OAL8LmO5o3",2023-03-30 03:24:19+00:00
KhalidWarsa,@DomesticMouse The US doesn’t disappear CEOs because they’re too busy disappearing countries and looting their reso… https://t.co/krKgtpstol,2023-03-30 03:24:19+00:00
thatsrenebae,"i hit 15k on tiktok 🎉🥰 

follow all my socials 💕
https://t.co/QLx56Y4SVw",2023-03-30 03:24:19+00:00
voice_watchman,"Everyone should see this video. Your life may depend upon it.  The great deception …. It will deceive many 

Full v… https://t.co/BqKGFsidv8",2023-03-30 03:24:18+00:00
ridesolo_TX,And that how u take ur freedom back https://t.co/Qter3tVWMT,2023-03-30 03:24:16+00:00
Cartersashaa,I donot want to see anymore labor videos tiktok,2023-03-30 03:24:15+00:00
draculasflesh,i’ll get on tiktok and then i’ll see one video and i’m like nope that’s it for today and log out,2023-03-30 03:24:14+00:00
JJerm3y,@Lazy_Process I can still remember your first TikTok post...,2023-03-30 03:24:14+00:00
badrocket1,"I deeply urge you to read S. 686 in it's entirety. It was never about TikTok, it was and always will be about restr… https://t.co/lxmhscwgvI",2023-03-30 03:24:14+00:00
netstudies,How 'TeachTok' is helping teachers connect with their students on TikTok by @wishcrys &amp; @aVizcainoVerdu  https://t.co/vdFnikYCmU,2023-03-30 03:24:13+00:00
stefanxgc,"@juliannegrasso This healed my heart a bit, so maybe it'll help you as well https://t.co/OxgteWQOwq",2023-03-30 03:24:11+00:00
REVELANGELS,@stfukimi the popularity didnt come from tiktok though😭 most popular songs boom on tiktok,2023-03-30 03:24:11+00:00
RebeccaApoloni3,Check out Families Civil Liberties Union's video! #TikTok https://t.co/v43JTjnyxZ,2023-03-30 03:24:10+00:00
WharleyEtAll,"Whats there not to love about Tiktok. Lol.
A lady described how she got a BA return ticket to Lagos for £100.
Someo… https://t.co/ny4Ek41hBQ",2023-03-30 03:24:10+00:00
matpro661,Check out Luis Pabon's video! #TikTok https://t.co/nDt69bICUz,2023-03-30 03:24:10+00:00
zuyuuB,"@/bts_official_bighit tiktok &amp; @/bts.bighitofficial insta reel!

Jimin doing #LikeCrazy challenge with Baekho 💜 https://t.co/GAdAH9OnRo",2023-03-30 03:24:09+00:00
amperr_,"I’m sitting at dinner at this place called Parole in Cabo, my drink is HELLA strong and I’m already feeling it.. li… https://t.co/fkAXqAMRNs",2023-03-30 03:24:09+00:00
canoekiki15,It's a scary world when Tucker knows what's up 😳😳😳😳 #RESTRICTAct  Check out Stella 🧿💙's video! #TikTok https://t.co/XRfBcZCYqy,2023-03-30 03:24:07+00:00
rippedinheaven,I think them being so open about the toxic relationship with fame and especially how it effected Pete makes that ti… https://t.co/2S8Gyaq9wr,2023-03-30 03:24:06+00:00
ouellettekayla,just saw a tiktok of someone posting their pre-pandemic 3yr old pics vs today and haha i hurted my own damn feelings,2023-03-30 03:24:05+00:00
catherine_tu,i really be watching whole ass movies on tiktok,2023-03-30 03:24:04+00:00
VumiVosa,"""Lottery"" Latto ft LU KALA 
Currently #20 on Tiktok Canada ( new peak ) 💓
@Latto @igobyLu https://t.co/hW4mKkZpVh",2023-03-30 03:24:03+00:00
MTN180,"@Afmod04 Y'ello, apologies about the pulse point issue. Please note that you will get pulse point when you:
 •Purch… https://t.co/2VTzkusguT",2023-03-30 03:24:02+00:00
AndyCoach,Thank you  https://t.co/U0QMuTSv1k,2023-03-30 03:24:01+00:00
Joejc222,"@iluminatibot Same?

https://t.co/895pijJ72g",2023-03-30 03:24:01+00:00
lorriethorpe7,Check out https://t.co/1Y573D6qu4's video! #TikTok https://t.co/SO9EhMziB2,2023-03-30 03:24:00+00:00
ellienwjns,better Quality 🫡 https://t.co/9eqqqEsgsT,2023-03-30 03:23:58+00:00
FlemishDog,I'm obsessed with this one tiktok by @LeftAtLondon https://t.co/iN8mDIF2eA,2023-03-30 03:23:54+00:00
phonedthisin,@MSNBC TikTok's parent company is run by the CCP. That is how things are in China. China has used WeChat to trak do… https://t.co/NFwg1i918C,2023-03-30 03:23:53+00:00
UsmanAw74388684,Check out Insafian Solder Uzair's video! #TikTok https://t.co/vEEIObGKLa,2023-03-30 03:23:53+00:00
Light1Films,Follow me on #TikTok going to be posting a lot of gaming clips. My Twitch is: Noodlejargon,2023-03-30 03:23:51+00:00
heronfiles,just watched the cutest sskk tiktok..... dni i'm thinking of them https://t.co/oPN7XiRU1u,2023-03-30 03:23:50+00:00
LuciteaTV,Check out New York Post | News's video! #TikTok https://t.co/xBJqIlRyfS,2023-03-30 03:23:50+00:00
Voltronicks007,@HawleyMO How about neither? How is what China does with TikTok any different from any other large company like You… https://t.co/YYVpRQ3Cht,2023-03-30 03:23:46+00:00
bees_bertie,Check out Alex Pearlman's video! #TikTok https://t.co/k4iV0asTVP,2023-03-30 03:23:45+00:00
elouise8903,My tiktok fyp really just said I know you so well 😭😭 https://t.co/wIwAliDdAO,2023-03-30 03:23:43+00:00
Alex86198240,"Watch this. They're trying to take away our knowledge and freedom. 

https://t.co/Za6zk5d61J",2023-03-30 03:23:42+00:00
bxxxbyary,why this man trying so hard to be in my life but thirsting over a Tiktok bitch ahh 😭😭,2023-03-30 03:23:40+00:00
8KD_gg,"We don’t need a TikTok ban, especially since it’s a trojan horse.

We need a social media age restriction. Under 16… https://t.co/dUXTEMHGdX",2023-03-30 03:23:39+00:00
littlerob576,why hasn’t tiktok did share drafts yet bruh,2023-03-30 03:23:39+00:00
Chocklatfactory,It’s the i gotta go so casually for me … every fight I’ve watched today has been bc of tiktok 😂😂 https://t.co/XLOGmwfxsR,2023-03-30 03:23:37+00:00
maggieglass,"Oh my gosh I just got served another one, where she calls it the food of 2023. https://t.co/qHocCoIelY",2023-03-30 03:23:36+00:00
npatterson33,Check out The Hood Vin Scully official's video! #TikTok https://t.co/ewqQAmKgks,2023-03-30 03:23:36+00:00
_krissalyse_,"It's hard sometimes

Check out ✨ 𝐆𝐄𝐎𝐑𝐆𝐈𝐀 | ADHD Mom ✨'s video! #TikTok https://t.co/hqkubzbAZT",2023-03-30 03:23:34+00:00
dannah__montana,@breerunway Missing from the new gen: BRIDGES!!! Wayyyy too many songs are shorter than 3 minutes because artists a… https://t.co/Z6gGsBlSCl,2023-03-30 03:23:32+00:00
xO_Flore,"my grandpa has been on my mind heavy lately &amp; lastnight I ran into this tiktok that as soon as I heard it , I legit broke down 😔😭",2023-03-30 03:23:28+00:00
GayBamboozler,@_glowstick0 but what if tiktok gets banned 😭,2023-03-30 03:23:28+00:00
PersephonaeWoW,"@LHP64D honestly people on tiktok can be some of the best people, or some of t he worst. one of the reasons i haven… https://t.co/tg7X6nWdb2",2023-03-30 03:23:27+00:00
dominique6138,The TikTok legislation is poison pill/trojan horse legislation. There are things buried in it that we will come to… https://t.co/3FBanIFuyw,2023-03-30 03:23:25+00:00
NoraJaquish,"SeLliNG 136.000 FoLlowERS insTagRAm accoUnt...

saLe seLl bUy BuyIng twItter TikTok YouTube preMium cHeap sEllIng A… https://t.co/X227fJj6BC",2023-03-30 03:23:22+00:00
NAIA,"#NAIARISE Governance and Leadership Academy is complete. Future leaders left with understanding of our governance,… https://t.co/Lp7SColL9S",2023-03-30 03:23:22+00:00
winsh,My TikTok algorithm has been shit in the last couple of days. I want my yansh content back 🥺,2023-03-30 03:23:20+00:00
