,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
146,gop,want,lawmaker,stop,use,tiktok,official,comms,dem,believe,well,alternative,instead,httpstcotxlkzzzdkt,,
147,think,good,time,remember,simple,rule,competition,good,consumer,snap,ceo,evan,spiegel,would,,
148,tiktok,ban,university,college,we,impact,student,httpstcoukjvmfvebp,,,,,,,,
149,jios,rapid,expansion,amp,indias,tiktokban,recently,gain,mandate,define,,,,,,
150,go,to,post,video,day,every,day,next,day,tiktok,tiktokban,,,,,
151,metafunde,lobby,behind,tiktokban,chinese,spying,,,,,,,,,,
152,tiktok,turn,grifter,app,people,like,ask,money,potentially,reach,child,tiktokban,,,,
153,year,old,use,play,around,drug,take,benadryl,could,not,feel,arm,I,m,glad,
154,tiktok,ban,what,s,cowboy,go,to,tiktok,tiktokban,,,,,,,
155,ban,tiktok,move,china,china,tiktok,tiktokban,boysmell,ccp,,,,,,,
156,love,see,people,make,website,easily,find,support,restrictact,amp,,,,,,
157,snap,ceo,say,he,d,love,tiktok,ban,short,term,httpstcokzocferdbu,snap,tiktokban,technew,,
158,right,wing,medium,newspaper,epochtime,write,article,compare,stance,tiktok,michellesteelca,sayi,,,,
159,make,podcast,redcircle,tiktokban,restrictact,,,,,,,,,,,
160,montana,ban,tiktok,come,see,alexthehumanoid,amp,say,httpstcomdapnhvdyi,via,,,,,,
161,dear,tiktoksupport,would,unban,lilmochidoll,she,s,never,break,guideline,really,sad,she,s,httpstcogxhaamciml,
162,rep,massie,work,tiktok,ban,restrict,act,kentucky,congressman,tell,republican,leadership,n,httpstcoyceklbofuq,,
163,rep,massie,work,tiktok,ban,restrict,act,kentucky,congressman,tell,republican,leadership,n,,,
164,nationwide,tiktok,ban,really,necessary,way,address,issue,protect,user,datum,,,,,
165,snap,ceo,evan,spiegel,say,tiktok,ban,would,benefit,snap,shortterm,partner,summit,snap,tiktok,tiktokban
166,hakimi,strike,back,ariana,grande,skeleton,body,backlash,jamie,foxx,stroke,tftc,ccpapaoblock,,,
167,tiktok,immense,cultural,impact,unquestionable,particularly,asia,pacific,region,however,west,c,,,,
168,expert,mtleg,tiktokban,do,not,understand,today,technology,can,not,enforce,likely,cost,,,
169,gavinnewsom,gavin,bill,say,do,not,say,gay,restrictact,say,tiktokban,,,,,
170,know,tiktok,tiktokban,knowingishalfthebattle,,,,,,,,,,,,
171,mr,second,good,lm,fox,forbid,romance,second,chance,romance,friend,lover,book,romancereader,,
